#{"t_start": 1745647065.2833416, "env_id": "CartPole-v1"}
r,l,t
13.0,13,29.190115
16.0,16,29.208216
23.0,23,30.047529
26.0,26,30.085122
28.0,28,30.122633
19.0,19,30.148643
15.0,15,30.168015
15.0,15,30.800886
44.0,44,30.843546
40.0,40,30.881605
22.0,22,30.902421
20.0,20,30.922083
20.0,20,30.940791
26.0,26,30.964897
13.0,13,30.977625
91.0,91,31.067509
13.0,13,31.080637
32.0,32,31.112931
12.0,12,31.125279
20.0,20,31.144939
32.0,32,31.175284
22.0,22,31.194967
42.0,42,32.235975
19.0,19,32.269716
46.0,46,32.344763
32.0,32,32.382743
37.0,37,32.418915
80.0,80,32.496155
37.0,37,32.530074
48.0,48,32.575712
79.0,79,32.647819
28.0,28,32.676845
16.0,16,32.692276
15.0,15,32.706411
40.0,40,32.745695
19.0,19,33.908669
13.0,13,33.921717
33.0,33,33.971817
35.0,35,34.904607
31.0,31,34.945952
74.0,74,35.026694
44.0,44,35.080952
12.0,12,35.096607
68.0,68,35.171561
58.0,58,35.255527
16.0,16,35.273454
29.0,29,35.304484
11.0,11,35.32959
29.0,29,35.353872
51.0,51,35.417787
30.0,30,36.428526
28.0,28,36.476021
43.0,43,36.541303
15.0,15,36.566249
19.0,19,36.588764
30.0,30,36.636629
38.0,38,36.683819
68.0,68,36.769356
24.0,24,36.803462
21.0,21,36.827008
16.0,16,36.84292
22.0,22,36.858701
20.0,20,36.890487
20.0,20,36.906246
16.0,16,36.922385
22.0,22,36.954224
24.0,24,36.970246
31.0,31,37.002325
12.0,12,37.018174
47.0,47,38.964221
53.0,53,39.033535
42.0,42,39.067302
19.0,19,39.099089
19.0,19,39.11457
47.0,47,39.162825
107.0,107,39.289401
34.0,34,39.327095
52.0,52,39.368482
18.0,18,39.384557
45.0,45,39.447472
27.0,27,39.463427
31.0,31,39.510492
28.0,28,42.906415
30.0,30,42.98323
19.0,19,43.035147
21.0,21,43.097096
73.0,73,43.488895
13.0,13,43.573889
57.0,57,43.942868
15.0,15,44.027239
19.0,19,44.10886
32.0,32,44.243985
25.0,25,44.344504
55.0,55,44.613413
23.0,23,44.782681
25.0,25,44.901789
36.0,36,45.03004
58.0,58,48.11398
39.0,39,50.626819
21.0,21,50.66811
52.0,52,50.772649
22.0,22,50.808574
44.0,44,50.884801
29.0,29,50.936782
55.0,55,51.001967
29.0,29,51.037683
15.0,15,51.051636
27.0,27,51.089244
23.0,23,51.120093
49.0,49,51.176643
52.0,52,51.247647
27.0,27,51.28101
47.0,47,51.342832
97.0,97,52.773453
23.0,23,52.824221
57.0,57,52.958244
55.0,55,53.06942
44.0,44,53.169864
49.0,49,53.266543
27.0,27,53.342024
28.0,28,53.425121
15.0,15,53.458973
21.0,21,53.500482
39.0,39,55.030712
25.0,25,55.084438
16.0,16,55.108075
12.0,12,55.128047
30.0,30,55.18754
14.0,14,56.539284
40.0,40,56.637388
47.0,47,56.7395
15.0,15,56.763601
27.0,27,56.813178
17.0,17,56.834847
22.0,22,56.885129
